Id;Unit;DrugDescription;Factory;Composition;NarcoticCategory;Category;Issued;ValidUntil
00277;1;Coeur-Vaisseaux Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00278;1;Colon Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00279;1;Conjonctif Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00282;1;Diencéphale Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00284;1;Disques vertebraux Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00286;1;DVPF Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00288;1;Emonctoires Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00294;1;Foie Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00295;1;Génital F Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00296;1;Génital M Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00299;1;Pulmo-Neural Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00300;1;Hépato-Vasculo-Rectal Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00306;1;Malpighien Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00309;1;Muqueuse urinaire Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00313;1;Nerveux central Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00314;1;Neuro-Vasculaire Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00315;1;Oeil Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00316;1;OFB Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00328;1;Broncho-Poumons Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00330;1;Reins Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00332;1;Articulaire Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00334;1;Sinus Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00335;1;S.R.E. Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;01.10.94;01.10.94;25.04.20
00338;1;Sympathique total Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00339;1;Tendino-Musculaire Sérocytol, suppositoire;Sérolab, société anonyme;Blutprodukte;B;B;26.04.10;26.04.10;25.04.20
00373;24;Mutagrip, Suspension zur Injektion;Sanofi Pasteur MSD AG;Impfstoffe;B;B;24.09.75;10.09.15;30.06.17
00417;1;Tollwut Impfstoff Mérieux, Injektionslösung;Sanofi Pasteur MSD AG;Impfstoffe;B;B;24.10.75;24.10.75;28.09.16
00437;1;SolcoTrichovac, Suspension;MEDA Pharmaceuticals Switzerland GmbH;Impfstoffe;B;B;02.07.79;02.07.79;30.04.21
00450;2;FSME-Immun CC, Suspension zur intramuskulären Injektion;Pfizer AG;Impfstoffe;B;B;06.08.79;05.11.01;31.07.21
00466;1;SolcoTrichovac, Lyophilisat;MEDA Pharmaceuticals Switzerland GmbH;Impfstoffe;B;B;07.11.80;07.11.80;30.04.21
00467;1;Vivotif, Kapseln;PaxVax Berna GmbH;Impfstoffe;B;B;09.12.80;09.12.80;30.12.17
00485;28;Influvac, Injektionssuspension;BGP Products GmbH;Impfstoffe;B;B;24.06.88;02.09.15;30.06.17
00488;2;Hepatect CP, Infusionslösung;Biotest (Schweiz) AG;Blutprodukte;B;B;13.02.82;28.01.02;31.08.21
00500;4;Redimune 1 g, Trockensubstanz mit Solvens;CSL Behring AG;Blutprodukte;B;B;01.01.01;01.01.01;28.02.17
00500;5;Redimune 3 g, Trockensubstanz mit Solvens;CSL Behring AG;Blutprodukte;B;B;01.01.01;01.01.01;28.02.17
00500;6;Redimune 6 g, Trockensubstanz mit Solvens;CSL Behring AG;Blutprodukte;B;B;01.01.01;01.01.01;28.02.17
00500;7;Redimune 12 g, Trockensubstanz mit Solvens;CSL Behring AG;Blutprodukte;B;B;01.01.01;01.01.01;28.02.17
00506;2;Cytotect CP Biotest, Infusionslösung;Biotest (Schweiz) AG;Blutprodukte;B;B;10.01.84;05.07.13;31.01.20
00509;1;Pneumovax-23, Injektionslösung;Sanofi Pasteur MSD AG;Impfstoffe;B;B;30.11.83;30.11.83;30.09.20
00520;1;Stamaril, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;A;A;27.09.84;27.09.84;30.09.16
00534;1;Engerix-B 20, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;03.12.86;03.12.86;31.03.17
00545;1;HBVAXPRO 40, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;18.04.88;18.04.88;17.04.21
00551;3;Engerix-B 10, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;04.10.89;01.05.02;30.09.17
00558;2;Havrix 1440, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;03.09.93;03.09.93;31.08.18
